Unidade;Area;Capacitacao;Tipo;Horas;Custo;Mes T1;Data T1;Status T1;Convidados T1;Presentes T1;NPS T1;Mes T2;Data T2;Status T2;Convidados T2;Presentes T2;NPS T2;Mes T3;Data T3;Status T3;Convidados T3;Presentes T3;NPS T3;Mes T4;Data T4;Status T4;Convidados T4;Presentes T4;NPS T4;Mes T5;Data T5;Status T5;Convidados T5;Presentes T5;NPS T5
IJA;Manutenç‹o;Formaç‹o B‡sica de Manutenç‹o ;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Gest‹o de Qualidade M?todos e Ferramentas ;Externo;;;Out;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Produç‹o;Operaç‹o Moinho de Bolas;Interno;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manutenç‹o;Manutenç‹o Mec‰nica Balanças Dosadoras;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manutenç‹o;Manutenç‹o e Operaç‹o Paletizadoras ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manutenç‹o;Analise de Vibraç‹o ;Externo;;11050;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manutenç‹o;PLC Controllogix;Interno;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Produç‹o;Formaç‹o Operador Mantenedor ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manutenç‹o;Manuseio de Bomba e Compressores ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manutenç‹o;Manutenç‹o Correias Transportadoras ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Produç‹o;Manutenç‹o e Operaç‹o Moagens Verticais;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manutenç‹o;Automaç‹o Industrial ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manutenç‹o;Manutenç‹o e Operaç‹o Ensacadeiras ;Externo;32;;Fev;24 a 27;Realizado;15;15;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
